"Average","Std_Dev","Range","Median","Avg_Time"
7512.9296,435.08780850072,2274.57,7525.68,131.7
0.181840742,0.0895393529300991,0.5527971,0.1643655,97.96
1273.0023,1732.81975174332,8855.342,564.972,116.32
-25371.112,6804.062926368,30661.1,-24912.85,129.42
8477336.8,551493.583981921,2778570,8458935,152.28
-24.005242,0.615987508516999,2.8492,-23.9841,183.7
10.1463,0,0,10.1463,180.2
-10.930476,5.91097960109664,28.51568,-11.1492,168.9
3.4061478,1.67295216041443,7.992456,3.20583,202.68
-7317.6352,549.214996396025,2600.15,-7295.335,177.5
-5186.267,609.276857317135,3033.31,-5107.625,249.5
6.138592,1.03305527221195,4.64247,6.302855,192.74
-9.0807954,0.549141019040368,2.24072,-9.124415,246.96
-15.6688,0,0,-15.6688,169.08
6.73958942,7.85555995539524,37.360606,3.916235,175.82
3720.77036,1762.9593880674,7403.878,3302.005,194.86
8.1461732,0.24886827683343,1.29532,8.160095,98.42
50.143888,26.5795811707503,116.2962,43.8862,125.3
