"Average","Std_Dev","Range","Median","Avg_Time"
9208.0704,421.605864624238,1835.15,9252.95,61.36
4.535498274e-11,7.11253409411943e-11,4.14901633e-10,2.130135e-11,28
25.042746,0.292570560971091,1.2813,25.1149,47.1
-89999.918,0.0437525509477845,0.19999999999709,-89999.9,48.44
737636.72,103294.117884773,572686,738333.5,57.6
-26.574032,0.980567584999127,4.6283,-26.44695,111.74
10.1463,0,0,10.1463,109.08
-11.4327754,1.27134341403134,6.76052,-11.65265,75.52
6.9751398e-06,4.73519299240058e-06,2.462291e-05,6.15629e-06,106.48
-4926.2118,721.556861995375,3107.01,-4746.575,105.66
-3584.0186,706.88381390383,3482.63,-3396.125,178.26
-6.9307302,1.1996228498761,5.09197,-6.67492,119.98
-8.9701546,0.767250976773598,3.48735,-8.880295,165.86
-15.6688,0,0,-15.6688,97.76
6.18559202918e-21,1.9101759566377e-20,1.11859694901e-19,5.08429e-22,110.64
2.5519168,0.599671437761631,2.14136,2.582685,108.12
7.2500032,4.71212071481322e-06,9.99999999962142e-06,7.25,29.44
4.1121874e-05,4.5662817338983e-05,0.00024072991,2.67261e-05,31.96
