"Average","Std_Dev","Range","Median","Avg_Time"
9508.189,341.206944466318,1794.45,9489.935,56.2
0.00046102551678,0.000413539697679768,0.001447302791,0.0004373765,24.76
26.432256,0.345165964907625,1.6033,26.48225,43.08
-89999.938,0.0490314351506555,0.100000000005821,-89999.9,45.08
693327.2,19787.0421225403,82785,692252,51.66
-26.28623,1.01654942244109,4.4376,-26.0146,107.02
10.1463,0,0,10.1463,104.9
-7.9920374,0.548266235408511,2.55049,-7.90288,71
0.0096687376,0.00512440070095113,0.02280654,0.00983092,103.52
-4749.6992,530.08579226632,2288.92,-4682.905,100.62
-3147.0976,385.980178736934,1576.27,-3131.195,173.36
-6.8883152,1.02631571033805,5.97903,-6.94253,115.64
-8.2610514,0.72586392769908,3.10635,-8.124015,162.98
-15.6688,0,0,-15.6688,93.16
1.016327900613e-06,2.91240873270432e-06,1.969059464935e-05,1.63879e-07,105.4
2.828437,0.467881557915842,1.80433,2.78494,104.56
7.2592816,0.00513409346964991,0.0209300000000008,7.258715,26.14
0.00131991254,0.000701011088832415,0.003131703,0.00127226,28.46
