"Average","Std_Dev","Range","Median","Avg_Time"
7417.0756,650.602007971204,2668.65,7345.21,91.8
0.000163316308,9.33764108982931e-05,0.0005225379,0.000148267,60.6
46.046738,71.1942528539732,359.7344,28.47635,78.9
-33146.556,6089.82078805917,26704.2,-32740,92.12
7244545.8,513801.727434477,2221270,7253925,113.96
-24.129102,0.788463758821868,4.3177,-24.0576,143.76
10.1463,0,0,10.1463,139.56
-22.1737372,3.21512323168277,18.66944,-22.4797,125.76
0.101709554,0.0424261925007067,0.1934266,0.0879778,159.84
-6994.7278,862.737645418114,3509.88,-6877.15,139.18
-5464.6426,791.076639321916,3818.87,-5340.44,205.32
5.797421,1.02528575137493,4.64586,5.935825,151.74
-12.964634,0.832495886515547,4.6344,-12.94955,191.36
-15.6688,0,0,-15.6688,129.62
2.15463759e-05,3.64464285433703e-05,0.000186553898,7.335035e-06,138.68
1.6521462,0.117074908026216,0.50764,1.631855,144.02
7.2800484,0.0069608958372571,0.0283899999999999,7.27929,61.76
3.021583138,6.11109649279611,29.1750859,0.317671,81.64
