"Average","Std_Dev","Range","Median","Avg_Time"
7387.9546,361.906816246607,1637.36,7393.95,93.36
4041.511,643.273753225464,2909.2,4063.035,60.64
26391402000,5649789703.85191,28104100000,27218150000,83.2
109457.056,13790.0980620917,61378.1,110926,93.1
13854674,45412.7951492232,217000,13856350,116.74
-22.872508,0.655583813300195,3.2755,-22.8029,145.46
10.1463,0,0,10.1463,142.76
108.406774,8.75652825498386,38.4109,109.761,132.72
368.03592,12.8282822204753,52.763,368.184,171.78
-6916.2292,435.763691689963,1807.35,-6864.38,140.4
-4949.6334,408.108795886637,1563.37,-4916.115,210.12
6.6724456,0.771005537887838,3.8703,6.86898,153.96
-9.6130944,0.44582633008903,1.88053,-9.604125,202.64
-15.6688,0,0,-15.6688,129.34
4113264400,931955135.311409,3943420000,4234680000,140.78
328.56374,101.437757073963,470.63,334.6375,154.02
3504.9982,465.343682360705,2036.62,3527.32,61.82
225.61548,19.5188761304936,97.24,227.738,85.52
