"Average","Std_Dev","Range","Median","Avg_Time"
9530.0044,362.816261381849,1669.31,9581.855,61.74
0.0068112892,0.00525663067114668,0.028332456,0.005227855,28.46
26.723952,0.225864749343315,1.0058,26.71395,47.48
-89970.842,18.7658405468166,90.6000000000058,-89973.25,50.24
1047711.68,17696.3883983283,90176,1045960,58.54
-26.143342,0.877469975552394,4.2618,-25.9328,111.22
10.1463,0,0,10.1463,109.58
-7.4475998,0.929531087224244,5.82201,-7.225635,76.06
0.0489393446,0.0176810669818251,0.08807327,0.0476343,113.52
-4772.566,600.811220763992,2870.44,-4753.545,105.7
-3161.6376,377.438768725445,1548.08,-3150.41,179.26
-6.3528772,1.08304385047758,4.53308,-6.148215,119.72
-8.6213248,0.724378693009874,3.60611,-8.5822,168.94
-15.6688,0,0,-15.6688,97.96
5.0512783588e-05,7.24039129959558e-05,0.0003723915036,2.75496e-05,110.9
3.7775478,0.630742594660889,2.43927,3.844855,109.38
7.2972098,0.0174904429285463,0.0652999999999997,7.295395,29.74
0.0087447878,0.00486340559181728,0.02529888,0.00749766,35.12
