"Average","Std_Dev","Range","Median","Avg_Time"
9337.158,421.146647598759,1763.05,9395.69,56.26
1.267873812e-34,1.38157501587186e-34,6.8290544e-34,6.85911e-35,25.02
23.551632,0.472875600606523,2.1852,23.3566,43.68
-89999.932,0.0471212071526589,0.100000000005821,-89999.9,44.74
228045.76,18953.6241384607,84384,227437.5,68.54
-26.678458,1.04577968571642,4.4038,-26.55075,107.76
10.1463,0,0,10.1463,105.06
-13.286444,1.51522554462552,6.6872,-13.70645,70.52
-1.28786e-14,0,0,-1.28786e-14,95.6
-5174.3594,599.352365557718,2771.78,-5165.21,100.52
-3404.1732,586.653815118961,2882.95,-3325.235,172.66
-7.8877438,1.20996909528401,5.23995,-7.66085,114.5
-8.2877362,0.866267219515846,5.31435,-8.216475,162.26
-15.6688,0,0,-15.6688,92.22
6.48223237e-68,1.27384506972883e-67,5.40962081e-67,9.922765e-69,107.16
1.7634676,0.337639407408168,1.5848,1.73826,103.88
7.25,0,0,7.25,25.68
2.64975696e-17,6.97363046697315e-17,4.657761e-16,6.378855e-18,26
