"Average","Std_Dev","Range","Median","Avg_Time"
7989.5622,337.86277205996,1490.71,8011.585,122.46
3823.8006,760.629442395184,3652.3,3728.08,85.9
6369925800,2242623436.37261,10721940000,6184335000,107.8
106067.78,24503.5386070532,109420.5,105891,119.42
12065738,199774.630051578,830400,12037500,143.86
-23.549432,0.749502868829515,3.1047,-23.45665,173.84
10.1463,0,0,10.1463,169.54
110.694984,12.1424742188255,53.9976,110.077,158.98
331.37042,21.3822808791651,104.239,331.4805,197.82
-6837.7996,568.914220642107,3016.48,-6828.455,169.24
-4815.2716,464.872274353606,1819.31,-4722.775,237.5
6.976303,0.578407644377639,2.67784,6.98026,181.36
-13.29237,0.930420475552065,4.0075,-13.2633,219.9
-15.6688,0,0,-15.6688,159.96
842594780,256182497.883298,1139491000,852945000,166.42
74.712092,19.6199610088947,97.401,72.5883,176.64
3364.148,714.635892242779,2906.21,3296.135,87.88
227.05476,24.1348294375999,108.106,225.9705,111.82
