100,92,95,40,59,23,56,2,20,1,5,7,3,4,14,34,37,25,16,28,12,32,70,22,6,9,61,33,77,10,8,15,21,11,13,17,24,18,19,39,48,54,49,51,26,27,67,29,73,30,35,31,36,60,55,38,57,45,41,50,68,62,52,42,58,71,43,53,85,80,44,46,86,65,76,47,74,87,63,64,66,81,97,89,82,88,69,98,83,75,90,94,72,78,93,84,96,99,79,91,0,7328
97,77,59,85,65,39,32,45,23,28,14,15,1,2,5,3,7,10,4,84,9,22,6,8,11,24,16,25,12,13,17,72,26,27,18,19,49,63,51,53,20,83,57,54,38,33,50,58,21,31,30,29,34,70,60,75,90,62,55,71,35,36,76,37,40,41,46,42,43,44,47,56,48,52,73,64,61,66,67,68,69,86,74,78,80,87,79,88,81,91,95,96,93,82,89,92,98,94,99,100,0,7078
100,97,69,45,59,71,57,56,26,11,4,1,14,2,63,22,36,7,3,5,43,28,37,21,8,6,23,76,44,73,65,93,29,17,47,51,12,9,10,34,48,19,24,32,20,15,16,35,13,33,49,70,89,83,38,25,18,27,58,30,31,46,87,72,52,53,64,39,62,60,41,40,42,77,75,84,78,50,54,61,55,74,86,68,92,88,85,91,66,67,79,80,94,81,98,95,96,90,82,99,0,6850
90,51,21,28,44,57,31,25,35,29,8,16,7,6,4,1,2,3,13,39,17,11,9,32,22,5,23,10,18,14,12,15,19,26,46,34,27,59,87,86,24,20,40,47,30,33,60,37,93,67,73,54,72,36,58,61,38,62,43,45,41,66,77,63,42,64,52,74,48,65,49,81,53,50,78,55,56,68,69,75,70,76,71,80,89,79,88,95,92,91,85,82,94,97,84,98,83,96,99,100,0,6725
98,89,67,50,47,39,48,1,4,2,8,15,36,28,42,3,5,6,7,13,65,85,88,74,72,14,9,24,11,10,12,25,16,51,43,29,17,30,26,18,27,19,21,20,22,23,37,31,41,32,38,40,33,34,35,44,64,45,57,63,52,61,58,49,56,46,59,77,53,54,60,66,69,55,62,94,68,73,79,76,80,78,70,71,75,93,81,90,86,82,83,91,95,97,99,92,84,87,96,100,0,6879
89,76,19,28,15,11,4,7,5,20,1,17,26,2,8,13,3,21,6,52,9,14,12,25,18,63,40,29,10,16,22,41,23,51,24,27,35,69,75,44,72,30,45,53,31,70,32,33,34,78,62,36,49,37,74,64,82,90,50,38,59,71,39,42,65,77,43,46,55,47,56,48,54,58,57,60,61,66,67,68,73,79,80,83,81,87,94,93,91,86,84,92,85,96,88,98,95,97,99,100,0,6966
97,83,68,51,20,9,4,1,2,15,25,3,6,14,5,23,12,7,46,24,26,29,35,8,49,21,10,11,13,16,36,17,22,18,19,34,28,73,33,50,38,69,27,66,54,37,30,31,48,41,47,32,39,40,42,53,43,52,44,45,64,91,67,90,65,75,55,82,56,74,92,88,96,98,95,93,86,57,76,58,59,60,70,61,63,62,77,87,71,72,78,84,79,89,80,94,85,81,99,100,0,6976
61,46,33,6,74,86,47,51,9,7,11,59,40,12,20,57,3,5,24,1,49,25,53,31,8,10,2,13,4,26,17,18,19,28,16,23,54,14,15,55,21,34,22,29,37,35,50,62,60,43,63,27,36,64,44,42,65,79,67,30,38,39,32,56,41,58,75,45,72,66,52,76,90,48,68,80,96,77,69,73,70,71,78,81,87,83,82,89,84,93,92,91,98,95,94,97,100,99,85,88,0,6991
100,86,85,82,58,14,20,25,26,21,10,3,27,29,16,2,4,7,1,5,17,15,8,6,50,45,23,46,55,92,41,59,13,12,11,9,24,42,56,78,33,18,19,36,22,28,30,90,71,44,31,49,32,34,51,35,37,40,38,52,93,39,53,95,87,96,83,43,60,47,48,67,54,79,88,73,80,94,84,75,57,89,61,68,62,69,63,76,64,65,66,70,72,77,81,74,91,97,98,99,0,7242
98,71,29,38,36,14,7,12,24,26,33,46,83,52,16,1,4,2,3,5,6,11,8,15,9,13,10,17,39,30,18,19,28,20,21,22,27,35,23,41,25,37,60,62,48,64,84,34,42,31,40,32,49,43,51,44,63,72,54,50,45,47,59,53,55,77,56,65,82,57,74,67,61,58,81,73,66,68,76,69,85,70,87,93,86,75,78,90,92,79,89,91,94,97,80,88,95,96,99,100,0,7136
