20,19,11,10,8,1,6,2,4,3,5,7,9,14,12,15,13,16,17,18,0,1614
16,18,8,19,6,1,2,10,17,11,3,7,4,9,5,12,13,14,15,20,0,1494
19,14,11,2,1,3,10,16,6,8,4,7,5,13,9,15,12,18,17,20,0,1644
16,12,20,15,5,3,1,2,7,4,14,6,8,9,11,10,13,17,18,19,0,1581
14,6,3,2,1,12,7,4,5,11,8,9,10,13,18,15,19,16,17,20,0,1676
19,7,10,6,1,2,3,5,8,4,11,12,9,13,18,14,15,16,17,20,0,1585
18,13,9,11,10,8,1,2,3,4,5,6,7,15,14,12,16,17,19,20,0,1577
13,5,2,1,3,10,7,4,11,14,6,8,15,9,12,16,17,20,18,19,0,1548
20,18,16,5,7,3,1,2,4,6,8,9,10,11,15,12,13,14,17,19,0,1634
20,11,4,3,17,6,1,9,5,2,10,12,8,7,14,13,16,15,18,19,0,1649
