17,19,13,5,10,8,3,9,2,1,4,6,15,12,7,14,18,11,16,20,0,2339
20,12,5,1,2,3,4,10,15,6,11,7,8,9,14,13,16,17,18,19,0,2286
20,17,12,7,6,1,3,2,4,5,10,8,11,9,16,13,14,15,18,19,0,2089
6,5,1,2,3,4,10,13,9,14,7,8,11,15,17,19,12,16,18,20,0,1997
19,20,15,14,10,5,2,3,1,4,16,6,9,7,11,8,12,13,17,18,0,2249
20,10,2,1,3,4,6,11,5,9,7,8,13,14,12,15,19,16,17,18,0,2146
19,7,3,1,2,8,4,5,9,6,10,11,12,13,14,15,17,16,18,20,0,2206
17,19,12,13,10,2,3,1,5,6,4,7,8,9,15,11,14,16,18,20,0,2223
18,16,6,8,7,3,1,9,2,4,5,11,13,10,12,14,15,19,17,20,0,2147
19,16,8,9,11,3,1,2,7,4,12,5,6,13,10,14,15,17,18,20,0,2140
