38,42,24,14,26,43,29,9,5,28,35,46,39,25,7,1,20,16,8,2,12,33,3,13,6,4,10,11,15,22,17,27,37,48,40,23,18,19,21,30,31,49,32,44,34,45,47,41,36,50,0,3639
49,41,35,11,15,4,3,1,2,7,5,6,13,10,8,9,17,14,16,12,18,27,19,22,34,26,20,21,23,24,25,42,38,43,28,29,44,30,33,40,31,32,46,36,45,37,50,47,39,48,0,3837
48,46,37,42,47,44,26,49,34,12,28,1,8,2,11,13,3,19,5,16,4,32,6,9,7,15,10,20,17,14,18,27,35,21,22,23,25,39,40,24,36,29,30,41,38,31,33,43,45,50,0,3625
49,36,20,10,22,1,11,4,2,3,5,7,12,6,9,23,32,8,14,24,13,15,16,26,17,21,27,18,25,28,29,31,43,19,35,37,41,47,30,33,34,38,42,45,46,39,40,44,48,50,0,3636
43,25,14,5,28,15,1,2,6,11,3,4,7,9,12,30,29,37,8,10,13,20,16,17,21,26,18,27,19,24,33,22,35,23,48,38,46,44,47,31,32,42,45,34,50,36,41,39,40,49,0,3727
50,48,47,38,42,35,14,8,3,6,5,1,2,4,17,11,23,12,7,9,21,10,15,13,25,32,24,16,26,34,31,43,28,19,36,18,27,37,46,29,40,45,20,22,39,41,30,44,33,49,0,3573
50,45,46,33,31,9,8,1,14,2,3,4,12,5,6,10,7,11,13,15,20,16,21,17,25,29,24,18,19,22,30,27,23,32,34,26,35,38,44,28,36,37,39,40,41,48,42,43,47,49,0,3542
50,47,49,46,27,21,4,14,15,10,8,19,11,1,9,3,5,13,6,2,7,12,16,22,17,29,36,23,20,18,37,24,45,28,25,26,33,30,44,31,38,32,34,43,41,39,35,40,42,48,0,3601
38,10,1,6,2,3,9,8,4,5,11,14,12,22,7,13,21,16,23,17,15,26,18,20,28,19,27,24,25,32,33,48,29,30,39,31,34,42,35,36,41,40,37,43,46,44,45,50,47,49,0,3472
43,34,35,14,22,13,1,2,27,3,6,4,20,16,5,8,7,9,10,15,23,12,11,37,17,18,21,19,39,28,33,32,24,25,44,31,26,45,36,46,38,40,41,29,30,47,49,48,42,50,0,3694
