37,136,233,364,425,544,816,894,1086,1160,1294,1355,1521,1590,1670,1836,2039,2133,2245,2379
125,185,303,398,523,631,843,948,1089,1188,1355,1431,1563,1631,1734,1879,2054,2209,2324,2451
132,221,310,405,583,729,899,994,1141,1277,1368,1463,1589,1718,1766,1915,2088,2232,2409,2499
156,306,405,481,609,776,925,1073,1229,1337,1426,1561,1666,1766,1795,1993,2098,2251,2499,2554
161,364,473,551,650,860,937,1089,1295,1391,1483,1643,1696,1777,1894,2051,2137,2274,2504,2585
240,388,527,608,686,937,991,1140,1306,1483,1580,1696,1736,1796,1959,2137,2211,2327,2560,2588
277,472,570,635,768,939,1079,1189,1314,1492,1652,1718,1796,1892,2009,2150,2302,2420,2571,2655
315,476,627,730,858,957,1104,1195,1332,1496,1680,1769,1871,1953,2093,2155,2330,2489,2575,2735
333,572,711,786,957,1027,1195,1271,1347,1521,1729,1779,1945,2036,2155,2219,2378,2547,2589,2821
431,643,781,881,983,1118,1203,1347,1431,1536,1759,1858,2012,2102,2164,2310,2382,2589,2592,2883
