14,8,17,18,11,1,2,4,13,3,5,6,7,9,10,12,16,15,19,20,0,1714
15,2,4,14,8,13,10,18,1,3,5,9,7,20,6,19,16,11,12,17,0,1806
3,1,7,2,4,6,5,9,8,16,12,10,11,15,13,14,17,18,19,20,0,1684
1,16,5,3,9,17,2,6,4,7,8,10,11,12,13,19,14,20,15,18,0,1606
11,6,19,10,9,20,1,7,3,8,14,15,2,4,5,17,12,13,16,18,0,1638
2,7,20,1,3,17,4,5,9,8,14,6,18,12,10,19,13,11,15,16,0,1624
14,18,6,19,1,16,7,10,12,8,9,4,3,11,2,20,5,13,15,17,0,1611
15,1,2,6,9,3,14,4,17,5,11,18,7,8,19,10,12,16,13,20,0,1786
8,1,4,11,5,2,17,19,3,20,6,7,18,9,14,13,10,12,15,16,0,1748
3,1,9,2,4,5,15,6,11,10,8,14,7,12,18,13,17,16,19,20,0,1827
