1,2,3,6,9,15,4,5,19,7,8,11,14,10,13,12,16,17,18,20,0,1324
1,2,14,5,15,18,3,4,8,6,7,9,13,11,10,12,16,17,19,20,0,1250
15,9,16,12,1,2,19,5,8,6,3,4,7,10,11,13,14,17,18,20,0,1396
14,5,15,4,18,12,1,9,2,3,6,7,8,19,10,16,11,13,17,20,0,1197
14,11,3,10,8,4,2,1,13,18,5,17,19,6,15,7,9,12,16,20,0,1449
1,9,17,10,16,2,3,4,5,8,6,12,7,11,13,14,15,18,19,20,0,1360
11,18,10,8,9,2,12,4,14,13,1,19,20,3,7,5,15,6,16,17,0,1347
14,4,3,6,13,19,12,2,7,1,5,8,9,10,11,15,18,16,17,20,0,1286
12,1,2,3,6,9,4,17,19,5,7,8,10,11,13,16,14,15,18,20,0,1380
16,4,17,3,6,1,2,5,8,18,10,7,9,11,12,13,14,20,15,19,0,1353
