16,5,10,1,4,15,6,7,17,2,3,8,13,9,11,18,12,14,19,20,0,2502
18,10,13,1,2,3,4,5,11,6,12,7,17,16,8,9,19,14,15,20,0,2392
1,2,3,4,5,6,13,7,8,19,9,16,15,10,11,12,14,17,20,18,0,2532
19,15,16,10,17,11,1,6,5,2,12,3,4,8,7,18,9,14,13,20,0,2461
19,2,6,8,7,5,1,3,4,11,18,9,15,17,10,14,20,12,13,16,0,2537
14,4,2,16,1,17,11,3,5,8,18,6,15,7,19,9,10,12,13,20,0,2436
5,17,11,1,4,2,20,18,12,6,3,7,8,9,14,10,13,15,19,16,0,2464
1,17,10,2,3,6,4,5,7,8,16,9,15,11,14,12,13,18,19,20,0,2392
1,16,13,17,19,6,4,10,2,3,5,7,8,11,9,12,14,15,18,20,0,2486
18,1,2,20,3,17,4,13,15,5,6,19,7,8,9,10,11,12,14,16,0,2394
