29,42,1,4,15,33,2,44,5,11,12,6,3,18,16,7,8,13,9,10,14,17,19,20,21,22,23,24,25,26,27,38,34,28,30,31,32,37,35,36,39,40,41,43,45,49,46,47,48,50,0,3408
1,38,9,47,2,3,21,4,5,6,7,8,19,10,11,22,42,12,13,14,15,16,30,17,39,18,43,20,44,23,24,50,25,49,33,34,28,29,26,27,31,35,32,45,36,41,37,46,40,48,0,3445
25,21,3,45,11,27,16,24,35,6,33,1,10,2,4,36,5,49,7,8,9,12,13,14,15,17,31,18,19,20,32,22,23,44,26,28,43,39,29,42,30,46,34,37,38,47,40,41,48,50,0,3253
6,22,3,25,5,4,1,2,7,20,8,11,9,10,12,13,14,15,16,17,18,19,27,21,23,24,31,26,28,29,33,39,30,32,34,35,36,37,38,40,41,42,46,43,44,45,47,48,49,50,0,3365
13,1,14,2,5,46,3,38,27,4,6,7,8,23,9,10,11,12,16,15,17,18,19,22,20,28,21,34,40,24,41,25,26,29,32,30,33,31,39,35,36,37,42,45,43,48,49,47,44,50,0,3396
18,25,3,40,16,17,1,4,12,2,6,21,47,32,46,23,36,10,38,5,7,9,8,27,14,22,11,13,49,19,15,41,24,28,20,26,29,30,31,33,34,35,39,37,42,43,44,45,48,50,0,3365
1,2,3,4,11,5,6,9,37,14,7,8,10,12,13,15,16,17,18,19,20,21,22,23,24,25,26,48,27,28,49,29,30,31,32,33,38,44,34,39,40,41,35,42,43,36,47,45,46,50,0,3495
21,13,41,1,16,40,2,10,4,12,31,14,3,47,5,38,6,17,30,29,15,23,8,7,48,44,9,45,11,27,18,26,19,20,22,34,37,24,39,46,25,28,32,36,33,35,42,43,49,50,0,3309
13,11,1,21,14,36,50,2,8,38,3,5,37,4,22,24,20,6,23,7,9,44,10,12,25,16,32,47,15,17,35,18,19,26,34,27,28,29,43,30,33,39,31,45,40,48,41,46,42,49,0,3176
1,2,48,30,3,4,19,44,5,34,6,7,35,8,9,29,18,10,32,11,12,13,14,15,39,16,21,17,27,20,22,23,33,24,31,25,26,28,42,36,43,46,41,37,38,45,49,47,40,50,0,3476
