functions,Average,Std_Dev,Range,Median,Time
Schwefel,10366.28867,548.6806894,2203.76,10435.5,2.991
De Jong 1,67672.15,4818.68658,22768,68222.3,2.246
Rosenbrock's Saddle,28848830000,4560099220,1.64E+10,28823650000,2.594
Rastrigin,1831957,157146.7475,657190,1831840,2.931
Griewangk,647.8761333,119.2873485,487.709,655.329,3.865
Sine Envelope Sine Wave,-18.77424667,1.018582934,4.7194,-18.59065,5.917
Stretch V Sine Wave,10.1463,0,0,10.1463,4.971
Ackley One,456.8230333,32.99021513,147.591,460.3595,4.716
Ackley Two,542.6945333,16.00234794,75.443,547.5085,5.407
Egg Holder,-3635.889333,672.5280213,2362.62,-3508.42,4.028
Rana,-2139.410467,675.999664,2935.746,-2023.875,6
Pathological,11.203864,0.65777826,2.59885,11.3231,4.671
Michalewicz,-6.143787333,0.654736173,2.6587,-6.04617,7.811
Masters’ Cosine Wave,-15.6688,0,0,-15.6688,3.921
Quartic,4718703333,907832406.2,3339690000,4626180000,4.925
Levy,20984.54,3144.005418,14523.2,21149.05,5.313
Step,66257.93333,5486.357712,25835.5,66916.6,2.293
Alpine,657.0533667,74.66909381,317.88,660.826,3.646
