functions,Average,Std_Dev,Range,Median,Time
Schwefel,6527.171,497.5107961,2439.71,6525.445,2.252
De Jong 1,41533.22,4928.844575,17352.1,40880.45,1.444
Rosenbrock's Saddle,16472465333,4250017316,17796330000,16453050000,1.715
Rastrigin,740840.4333,82896.64718,345145,741591.5,1.944
Griewangk,429.6261,80.48347128,321.087,436.6345,2.179
Sine Envelope Sine Wave,-12.62089,0.806189877,3.9751,-12.50965,3.103
Stretch V Sine Wave,6.64758,0,0,6.64758,2.841
Ackley One,284.143,19.37699629,111.196,286.921,2.915
Ackley Two,347.7151,14.88748464,72.136,351.511,4.082
Egg Holder,-2604.351,581.5784116,2357.24,-2658.305,2.788
Rana,-1564.0985,421.523801,1521.263,-1584.385,3.689
Pathological,6.641959,0.560611522,2.49116,6.656755,2.774
Michalewicz,-4.823475667,0.77204586,3.22257,-4.859355,4.006
Masters’ Cosine Wave,-10.2657,0,0,-10.2657,2.373
Quartic,1642857300,458365001.9,1757455000,1635585000,2.564
Levy,11734.552,3214.621751,12775.78,12098.1,3.711
Step,37725.31,6347.605771,30349.6,38781.55,1.604
Alpine,398.6774667,34.33233515,138.598,402.2505,2.073
