0,2,59,148,193,267,346,405,504,600,683,710,752,841,933,997,1096,1201,1263,1354,1412,1494,1521,1576,1664,1759,1857,1954,2056,2108,2225,2276,2447,2459,2574,2715,2766,2847,2934,3042,3060,3152,3180,3278,3367,3417,3489,3550,3610,3760
2,59,148,192,245,308,405,500,603,678,738,752,841,916,1050,1096,1217,1282,1354,1398,1416,1516,1651,1661,1759,1885,1959,2037,2103,2243,2304,2362,2455,2562,2620,2719,2863,2887,2955,3077,3098,3211,3278,3361,3430,3468,3595,3646,3706,3831
6,80,158,245,308,405,487,599,620,693,752,827,914,986,1081,1176,1288,1300,1392,1474,1557,1576,1660,1799,1859,1926,2083,2116,2274,2356,2371,2466,2530,2665,2719,2794,2905,2958,3046,3100,3242,3281,3311,3434,3508,3544,3661,3780,3838,3890
19,151,205,291,390,483,560,645,685,761,840,930,1030,1081,1209,1263,1303,1395,1495,1500,1608,1707,1767,1850,1926,2008,2125,2181,2314,2402,2503,2547,2620,2711,2793,2887,2940,3051,3094,3180,3280,3352,3402,3473,3542,3640,3693,3818,3879,3938
90,182,241,374,406,544,596,671,752,898,906,976,1080,1182,1254,1300,1330,1460,1498,1576,1698,1809,1829,1973,2006,2139,2181,2276,2428,2454,2529,2638,2685,2791,2858,2958,3038,3114,3180,3270,3373,3380,3482,3585,3610,3720,3789,3930,3958,4034
182,241,319,395,469,601,689,758,810,935,976,1035,1207,1217,1296,1381,1421,1501,1629,1681,1817,1829,1926,1997,2085,2184,2253,2361,2438,2544,2648,2735,2771,2803,2966,3017,3119,3147,3270,3361,3380,3454,3560,3599,3716,3838,3873,3938,4035,4075
237,308,395,509,563,670,708,869,920,965,1044,1124,1217,1279,1321,1472,1536,1555,1719,1804,1829,1955,1993,2082,2201,2225,2345,2460,2529,2653,2662,2767,2883,2884,3040,3125,3172,3223,3333,3419,3465,3587,3650,3692,3781,3856,3980,4031,4098,4152
269,367,439,553,677,715,792,935,958,1076,1113,1217,1252,1344,1493,1505,1578,1653,1759,1876,1933,1998,2089,2181,2245,2312,2434,2538,2569,2662,2752,2846,2884,2981,3079,3159,3215,3358,3402,3506,3566,3618,3664,3781,3856,3912,3994,4043,4131,4230
353,439,519,682,712,811,895,1016,1039,1114,1191,1246,1319,1421,1551,1558,1648,1736,1829,1944,1994,2047,2194,2225,2295,2395,2534,2648,2662,2778,2801,2912,2973,3077,3147,3206,3347,3380,3426,3523,3599,3664,3749,3849,3956,3994,4043,4187,4209,4301
424,517,601,726,792,893,941,1103,1133,1208,1212,1349,1489,1498,1575,1637,1784,1847,1938,1973,2084,2183,2241,2338,2388,2480,2567,2685,2735,2851,2887,2947,3058,3147,3260,3285,3416,3426,3508,3613,3664,3765,3821,3952,3976,4022,4120,4198,4295,4433
517,601,758,800,888,981,1029,1125,1203,1212,1363,1399,1521,1568,1635,1747,1789,1904,1998,2037,2141,2213,2284,2339,2500,2567,2662,2723,2780,2873,2947,3044,3089,3190,3282,3380,3440,3563,3613,3659,3704,3779,3929,3965,3990,4109,4197,4345,4376,4443
565,694,792,888,941,1035,1106,1145,1275,1307,1399,1522,1605,1630,1769,1848,1879,2001,2041,2116,2213,2275,2353,2433,2581,2664,2719,2780,2873,2975,3062,3083,3229,3282,3380,3441,3532,3587,3643,3694,3779,3877,3959,3990,4068,4115,4277,4358,4443,4536
631,792,888,946,995,1103,1185,1212,1381,1437,1503,1571,1676,1707,1814,1863,1969,2037,2127,2267,2296,2339,2428,2529,2667,2693,2816,2900,2946,3005,3083,3134,3288,3347,3426,3499,3611,3643,3743,3781,3877,3959,3990,4017,4112,4196,4358,4394,4461,4608
729,880,958,968,1090,1195,1273,1302,1437,1457,1569,1630,1723,1800,1863,1948,2037,2106,2217,2272,2318,2420,2491,2605,2693,2780,2828,2970,3041,3105,3126,3232,3323,3366,3485,3580,3643,3691,3814,3838,3962,3989,4029,4117,4200,4289,4384,4459,4557,4702
811,914,1009,1033,1117,1271,1317,1400,1468,1547,1646,1719,1773,1892,1919,1999,2103,2203,2293,2368,2414,2505,2588,2693,2778,2817,2910,3000,3100,3156,3214,3323,3393,3441,3580,3643,3686,3756,3879,3890,3984,4006,4103,4186,4239,4328,4483,4530,4576,4753
907,968,1011,1141,1278,1305,1432,1467,1587,1643,1685,1778,1863,1946,2042,2107,2214,2269,2318,2414,2465,2591,2616,2727,2807,2904,3000,3100,3148,3243,3313,3383,3424,3528,3618,3686,3752,3838,3922,3995,4024,4103,4186,4260,4328,4419,4529,4575,4652,4806
947,1011,1096,1194,1281,1432,1453,1562,1672,1681,1773,1897,1914,1978,2113,2202,2238,2323,2384,2491,2547,2631,2741,2812,2866,3000,3077,3119,3212,3299,3359,3434,3451,3539,3625,3769,3867,3904,3965,4080,4088,4161,4277,4323,4413,4535,4552,4638,4760,4869
978,1077,1194,1281,1373,1453,1547,1637,1675,1812,1880,1913,1978,2121,2159,2283,2302,2368,2436,2515,2602,2681,2817,2941,2963,3081,3119,3253,3309,3322,3438,3490,3539,3591,3694,3821,3880,3988,4001,4095,4139,4223,4308,4386,4484,4563,4634,4759,4790,4890
1055,1121,1241,1391,1453,1529,1643,1675,1773,1845,1934,1993,2060,2183,2225,2313,2368,2434,2497,2585,2681,2777,2862,2987,3034,3182,3214,3280,3352,3405,3447,3547,3590,3689,3795,3914,3953,4042,4131,4164,4279,4327,4441,4480,4553,4567,4732,4822,4880,4924
1114,1213,1308,1405,1514,1624,1675,1761,1845,1908,1968,2009,2155,2225,2302,2359,2410,2475,2575,2588,2734,2862,2957,3021,3093,3190,3280,3322,3379,3447,3539,3553,3655,3782,3869,3953,4001,4044,4135,4196,4295,4386,4448,4517,4567,4662,4790,4852,4892,4945
