94,170,211,298,359,457,533,630,724,798,844,933,1016,1103,1201,1286,1376,1464,1563,1646
170,211,298,346,457,533,597,700,767,844,933,993,1103,1201,1286,1376,1464,1532,1612,1718
193,298,346,404,517,565,663,745,844,933,993,1075,1201,1286,1376,1455,1532,1566,1648,1766
212,346,404,461,558,663,745,844,922,993,1075,1167,1248,1376,1455,1532,1562,1619,1733,1821
235,357,461,558,630,745,844,912,989,1075,1167,1233,1332,1409,1471,1562,1619,1710,1791,1877
288,381,558,630,718,800,909,989,1075,1167,1224,1289,1409,1465,1535,1619,1710,1786,1877,1961
381,477,630,718,800,890,989,1073,1135,1219,1289,1384,1440,1535,1619,1710,1786,1877,1961,2028
450,538,658,743,890,989,1073,1135,1219,1289,1384,1440,1535,1619,1710,1786,1862,1929,2027,2123
508,621,707,834,989,1015,1135,1219,1289,1380,1440,1535,1619,1710,1786,1862,1929,2027,2123,2209
550,687,737,842,1015,1094,1144,1289,1380,1395,1535,1619,1710,1713,1862,1929,2027,2031,2194,2271
