18,37,19,1,33,25,2,3,7,28,26,9,4,8,40,10,5,29,30,6,31,11,32,34,12,13,14,15,16,17,21,27,24,50,20,22,41,23,39,48,35,44,36,38,42,47,43,46,49,45,0,4164
12,45,37,10,4,1,5,19,7,16,14,20,15,6,43,2,8,9,31,13,11,3,23,17,18,21,38,22,27,24,28,29,33,25,26,36,30,32,41,39,44,34,35,42,40,48,46,49,47,50,0,3834
43,25,31,35,46,36,3,12,2,1,4,5,22,6,13,7,14,8,28,15,9,17,16,10,11,18,23,19,20,21,37,24,26,27,32,44,29,38,30,33,39,34,40,45,41,48,47,50,42,49,0,4028
5,22,17,39,48,3,46,33,35,4,1,18,2,19,6,20,7,21,8,9,10,11,12,13,14,15,16,40,23,38,24,27,25,36,26,28,43,29,41,30,34,31,32,37,44,42,45,47,49,50,0,4111
31,1,30,2,33,10,3,6,7,20,4,11,5,24,8,19,9,18,21,34,44,12,15,13,14,26,16,17,38,22,32,27,35,23,25,36,28,29,48,39,46,40,37,41,47,42,49,50,45,43,0,4099
46,25,44,42,38,45,19,9,2,13,5,1,3,8,4,6,10,26,7,11,18,20,14,27,16,12,17,30,15,21,22,23,28,24,48,36,39,29,32,40,41,33,31,34,43,47,49,35,37,50,0,3985
45,44,20,28,27,4,7,1,2,14,3,5,15,6,9,8,10,11,12,21,13,16,22,17,18,19,24,25,23,31,47,29,32,26,34,42,30,43,33,36,41,35,48,37,38,46,39,50,40,49,0,4062
31,48,13,22,38,46,21,44,41,20,39,45,16,15,24,17,2,1,19,40,14,43,3,27,35,4,8,5,9,6,7,10,34,11,12,18,32,23,26,33,25,28,29,30,42,36,47,49,37,50,0,3879
37,21,38,11,4,1,7,2,5,3,16,31,10,6,8,18,15,14,25,17,9,32,12,20,49,13,33,27,19,39,26,29,22,23,24,28,30,36,34,40,35,46,41,42,45,47,43,44,50,48,0,3837
36,28,30,8,29,9,35,18,11,12,21,1,25,10,2,7,23,5,3,4,6,19,32,15,13,16,31,14,34,17,27,20,22,41,24,26,33,39,37,45,38,40,42,46,44,48,43,50,47,49,0,3967
