0,43,156,227,278,388,492,574,638,785,832,896,988,1056,1149,1241,1336,1396,1425,1490
43,111,266,330,382,448,579,622,739,812,891,979,1084,1174,1241,1362,1395,1397,1536,1643
108,220,358,368,483,586,695,721,827,889,974,1056,1147,1258,1293,1380,1426,1490,1640,1665
195,364,368,505,534,629,714,812,875,995,1085,1141,1211,1282,1379,1451,1528,1640,1706,1801
275,368,428,607,622,769,828,887,1040,1087,1132,1244,1294,1328,1397,1485,1595,1698,1807,1828
368,471,526,622,714,797,872,967,1077,1153,1196,1264,1388,1440,1541,1575,1680,1740,1820,1916
404,534,628,655,778,872,994,1048,1128,1179,1264,1361,1402,1493,1574,1706,1757,1821,1921,1990
493,554,634,747,915,940,1019,1169,1179,1264,1307,1412,1523,1569,1691,1737,1820,1918,1981,2092
554,634,690,845,964,1021,1092,1237,1275,1312,1397,1490,1637,1644,1740,1856,1881,1967,2072,2182
580,663,726,918,1052,1140,1179,1272,1363,1388,1511,1569,1643,1767,1831,1941,2031,2112,2165,2248
583,668,783,1013,1098,1157,1282,1311,1422,1568,1583,1643,1736,1773,1866,1956,2093,2136,2243,2289
668,733,798,1092,1153,1297,1381,1388,1511,1569,1629,1722,1788,1866,1946,2040,2114,2206,2292,2364
690,798,857,1147,1212,1328,1388,1477,1569,1600,1665,1773,1828,1957,2040,2114,2200,2294,2311,2459
692,809,872,1206,1341,1395,1465,1569,1639,1655,1746,1842,1881,1974,2063,2193,2310,2403,2499,2500
759,852,918,1300,1388,1407,1482,1581,1655,1746,1819,1879,1970,2094,2121,2217,2311,2406,2538,2571
800,879,978,1388,1407,1515,1592,1655,1703,1834,1927,1928,2029,2120,2207,2311,2406,2515,2576,2642
866,913,1025,1389,1468,1554,1645,1683,1772,1902,1938,2042,2109,2158,2264,2348,2457,2628,2653,2732
873,960,1066,1454,1546,1634,1716,1742,1866,1944,1981,2057,2184,2272,2362,2445,2553,2638,2731,2770
923,1024,1104,1492,1624,1654,1742,1816,1948,1955,2049,2122,2225,2310,2399,2461,2638,2700,2770,2867
927,1045,1138,1502,1654,1742,1775,1898,1955,2049,2122,2221,2310,2371,2461,2528,2648,2770,2801,2916
