17,5,3,8,2,1,4,11,6,7,9,13,10,15,12,14,16,18,19,20,0,2640
9,4,17,10,1,13,12,6,7,2,5,3,8,11,14,15,16,18,19,20,0,2386
20,1,2,3,8,4,5,13,18,9,6,7,15,10,16,11,12,17,14,19,0,2666
19,17,6,9,3,1,2,5,4,8,7,11,10,12,14,15,13,16,18,20,0,2641
5,2,11,4,19,6,3,17,1,15,10,7,8,9,13,20,18,12,14,16,0,2708
14,1,4,2,13,5,16,6,3,7,17,10,8,18,12,9,11,15,19,20,0,2554
18,5,7,8,3,1,2,4,9,6,12,10,16,14,11,19,17,13,20,15,0,2611
10,1,8,12,2,9,3,15,4,14,5,16,6,7,18,17,11,13,19,20,0,2413
1,6,2,3,17,4,7,12,8,14,5,9,10,15,11,13,20,16,18,19,0,2650
18,1,7,2,3,19,6,5,4,14,11,13,8,9,10,12,15,17,20,16,0,2572
