20,17,15,7,2,8,1,5,3,4,10,6,9,14,11,12,13,16,19,18,0,1459
16,13,3,1,5,8,2,4,6,7,9,12,10,14,11,15,17,18,19,20,0,1420
6,8,2,1,3,4,17,5,10,18,13,7,12,9,14,11,15,16,19,20,0,1501
15,9,4,3,1,13,12,5,2,6,14,7,8,16,11,10,19,17,18,20,0,1447
19,6,3,2,1,8,11,9,12,7,4,5,10,13,17,14,18,15,16,20,0,1608
18,19,10,16,13,6,8,1,2,7,3,5,4,17,14,9,11,12,15,20,0,1472
12,10,7,5,2,4,18,8,19,1,14,13,6,9,3,15,11,16,17,20,0,1526
5,2,1,3,4,11,13,14,6,16,7,8,12,15,9,10,18,17,19,20,0,1485
17,16,7,5,2,6,1,3,4,19,8,20,9,10,11,12,13,14,15,18,0,1495
10,16,19,11,17,15,13,5,2,1,9,12,3,4,8,6,7,20,18,14,0,1521
