11,12,4,3,10,6,7,13,14,1,5,2,8,16,9,15,17,18,19,20,0,1876
15,12,18,13,2,14,1,5,3,7,6,4,8,9,10,20,11,16,19,17,0,1957
16,8,12,20,11,3,2,1,4,5,6,10,7,13,9,17,14,15,18,19,0,1828
8,5,9,2,1,10,13,3,7,4,6,20,11,12,17,19,14,15,16,18,0,1726
8,7,20,4,9,2,3,1,10,11,5,6,13,12,14,15,16,17,18,19,0,1849
14,2,4,12,18,5,16,1,3,8,6,10,7,9,11,20,13,15,19,17,0,1776
19,20,6,3,12,5,14,8,1,2,11,4,17,10,7,13,9,16,18,15,0,1865
19,15,2,7,1,5,3,4,8,6,12,9,20,16,17,10,13,18,11,14,0,1946
4,16,11,14,1,12,2,3,18,17,20,19,5,6,7,15,8,9,10,13,0,1962
14,20,8,2,1,9,3,7,4,12,5,6,15,10,11,13,19,17,16,18,0,1942
