"Average","Std_Dev","Range","Median","Time"
8469.37766666667,722.92524009764,3056.12,8338.535,0.118
63096.4966666667,9767.01196994367,42558.7,63488.55,0.057
34865516666.6667,7929547146.96366,38379900000,35711800000,0.087
1135525.53333333,176040.165453059,772508,1140705,0.116
395.3531,61.0438051743342,265.992,397.8035,0.154
-9.96001333333333,1.58812826983546,7.30569,-9.722965,0.199
6.64758,0,0,6.64758,0.2
374.232833333333,34.8422094909701,140.14,374.2865,0.06
382.6739,13.4719138909884,48.635,383.442,0.083
294.970266666667,1248.54406039722,4885.07,286.9655,0.059
127.088606666667,769.170566821553,3104.01,380.8865,0.1
8.92762933333333,0.910227378337634,3.88566,9.20033,0.062
-2.29808193,1.12689920875562,5.1339641,-2.18149,0.11
-10.2657,0,0,-10.2657,0.056
4069130000,1078980112.42098,4767720000,4096895000,0.062
24877.7966666667,8657.44152628379,45741.5,25381.3,0.066
60780.8633333333,9397.88869860501,42134.6,61260.9,0.02
587.351333333333,96.1540264045978,393.406,586.1425,0.035
